Title,Body,Status,Priority,Epic,Workspace,Size,Sprint,Start Date,Target Date,Type,Owner,Dependencies,Labels
Setup Spring Boot backend skeleton,"Create modular monolith backend structure under autowash-backend with base bootstrapping, PostgreSQL config, and Swagger/OpenAPI setup.",Backlog,P0,Epic 1 - Auth,Backend,M,Sprint 1,2026-05-24,2026-05-24,Tech,Huy,"Không có",backend;setup;swagger
Setup Next.js frontend skeleton,"Create base Next.js App Router structure under autowash-frontend by using the prototype as the frontend base and preparing customer, operations, and admin workspaces.",Backlog,P0,Epic 1 - Auth,Shared,M,Sprint 1,2026-05-24,2026-05-24,Tech,Khương,"Không có",frontend;setup;prototype
Implement backend auth module endpoints,"Implement register, OTP send/verify, login, refresh, logout, JWT, RBAC, and default MEMBER tier on registration.",Backlog,P0,Epic 1 - Auth,Backend,L,Sprint 1,2026-05-24,2026-05-25,Feature,Huy,"Huy phải xong: Setup Spring Boot backend skeleton",auth;backend
Build customer auth integration,"Implement customer register, verify OTP, login, refresh handling, logout, and role redirect against real auth APIs.",Backlog,P0,Epic 1 - Auth,Customer,L,Sprint 1,2026-05-24,2026-05-25,Feature,Hùng,"Khương phải xong: Setup Next.js frontend skeleton; Huy phải xong: Implement backend auth module endpoints hoặc Swagger contract",auth;frontend
Implement backend user profile API,"Create profile and preferences APIs used immediately after login.",Backlog,P0,Epic 2 - User,Backend,M,Sprint 1,2026-05-25,2026-05-25,Feature,Huy,"Huy phải xong: Implement backend auth module endpoints",user;backend
Build customer profile page integration,"Wire profile page against backend profile and preferences APIs.",Backlog,P0,Epic 2 - User,Customer,M,Sprint 1,2026-05-25,2026-05-25,Feature,Hùng,"Khương phải xong: Setup Next.js frontend skeleton; Huy phải xong: Implement backend user profile API; Hùng phải xong: Build customer auth integration",user;frontend
Implement backend vehicle CRUD APIs,"Create vehicle create, list, detail, update, delete, and set-primary endpoints with Swagger docs.",Backlog,P0,Epic 3 - Vehicle,Backend,L,Sprint 2,2026-05-25,2026-05-26,Feature,Huy,"Huy phải xong: Implement backend auth module endpoints",vehicle;backend
Build customer vehicle CRUD pages,"Implement vehicle list, add, detail, edit, delete, and set-primary flows using prototype UI and real APIs.",Backlog,P0,Epic 3 - Vehicle,Customer,L,Sprint 2,2026-05-25,2026-05-26,Feature,Hùng,"Khương phải xong: Setup Next.js frontend skeleton; Huy phải xong: Implement backend vehicle CRUD APIs; Hùng phải xong: Build customer auth integration",vehicle;frontend
Implement backend booking APIs,"Create package/add-on/combo/voucher list APIs, booking create/list/detail/cancel, voucher validate, and booking status model.",Backlog,P0,Epic 4 - Booking,Backend,L,Sprint 2,2026-05-26,2026-05-27,Feature,Huy,"Huy phải xong: Implement backend auth module endpoints và Implement backend vehicle CRUD APIs",booking;backend
Build customer booking checkout flow,"Implement 7-step checkout, voucher validation, booking success, booking list, and booking detail using prototype UI and real APIs.",Backlog,P0,Epic 4 - Booking,Customer,L,Sprint 2,2026-05-26,2026-05-27,Feature,Hùng,"Khương phải xong: Setup Next.js frontend skeleton; Huy phải xong: Implement backend booking APIs; Hùng phải xong: Build customer vehicle CRUD pages",booking;frontend
Implement backend operations lifecycle APIs,"Create wash session create, queue, check-in, start, complete, and booking status synchronization.",Backlog,P0,Epic 5 - Operations,Backend,L,Sprint 3,2026-05-27,2026-05-28,Feature,Thuận,"Huy phải xong: Implement backend booking APIs",operations;backend
Build staff operations queue and session flow,"Implement queue board, check-in, fee or projected points display, start wash, and complete wash.",Backlog,P0,Epic 5 - Operations,Operations,L,Sprint 3,2026-05-27,2026-05-28,Feature,Hưng,"Khương phải xong: Setup Next.js frontend skeleton; Thuận phải xong: Implement backend operations lifecycle APIs",operations;frontend
